team_number,team_id,file_name,trainer_name,trainer_class,master_or_normal,format,set_number,team_label,source_file,source_page_url,pokemon_count,pokemon_species
1,T00000001,T00000001_MyronandJane_MD1.txt,Myron and Jane,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Ninetales, Charizard, Venusaur, Garchomp"
2,T00000002,T00000002_MyronandJane_MD1.txt,Myron and Jane,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team B,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Ninetales, Charizard, Venusaur, Rhyperior"
3,T00000003,T00000003_MyronandNatalia_MD1.txt,Myron and Natalia,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Suicune, Togekiss, Garchomp, Tyranitar"
4,T00000004,T00000004_MyronandNatalia_MD1.txt,Myron and Natalia,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team B,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Suicune, Togekiss, Garchomp, Tyranitar"
5,T00000005,T00000005_HermanandNatalia_MD1.txt,Herman and Natalia,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Politoed, Zapdos, Kingdra, Scizor"
6,T00000006,T00000006_HermanandNatalia_MD1.txt,Herman and Natalia,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team B,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Politoed, Lapras, Kingdra, Scizor"
7,T00000007,T00000007_DonnieandSasha_MD1.txt,Donnie and Sasha,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Hitmontop, Gardevoir, Alakazam, Garchomp"
8,T00000008,T00000008_DonnieandSasha_MD1.txt,Donnie and Sasha,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team B,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Hitmontop, Gardevoir, Alakazam, Mamoswine"
9,T00000009,T00000009_KellenandAlton_MD1.txt,Kellen and Alton,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Lickilicky, Scizor, Miltank, Aerodactyl"
10,T00000010,T00000010_KellenandMikel_MD1.txt,Kellen and Mikel,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Drifblim, Wailord, Muk, Raichu"
11,T00000011,T00000011_KellenandCarlo_MD1.txt,Kellen and Carlo,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Probopass, Typhlosion, Feraligatr, Latias"
12,T00000012,T00000012_AltonandJoy_MD1.txt,Alton and Joy,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Swampert, Miltank, Entei, Bronzong"
13,T00000013,T00000013_AltonandLyle_MD1.txt,Alton and Lyle,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Abomasnow, Charizard, Registeel, Articuno"
14,T00000014,T00000014_AltonandAndreas_MD1.txt,Alton and Andreas,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Abomasnow, Lapras, Arcanine, Medicham"
15,T00000015,T00000015_AltonandTyrell_MD1.txt,Alton and Tyrell,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Typhlosion, Nidoking, Probopass, Articuno"
16,T00000016,T00000016_MargotandTurner_MD1.txt,Margot and Turner,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Gastrodon, Entei, Charizard, Forretress"
17,T00000017,T00000017_MargotandChrista_MD1.txt,Margot and Christa,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Salamence, Nidoqueen, Moltres, Heracross"
18,T00000018,T00000018_SophieandIrene_MD1.txt,Sophie and Irene,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Regirock, Blissey, Latios, Lapras"
19,T00000019,T00000019_SophieandBenny_MD1.txt,Sophie and Benny,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Jolteon, Lickilicky, Regice, Nidoqueen"
20,T00000020,T00000020_SophieandKevon_MD1.txt,Sophie and Kevon,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Vileplume, Rapidash, Weavile, Vespiquen"
21,T00000021,T00000021_SophieandCodi_MD1.txt,Sophie and Codi,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Lanturn, Moltres, Alakazam, Blissey"
22,T00000022,T00000022_BlairandKelby_MD1.txt,Blair and Kelby,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Tangrowth, Registeel, Forretress, Exploud"
23,T00000023,T00000023_BlairandDalvin_MD1.txt,Blair and Dalvin,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Regirock, Swampert, Gardevoir, Umbreon"
24,T00000024,T00000024_HarveyandSophie_MD1.txt,Harvey and Sophie,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Jolteon, Honchkrow, Regice, Gyarados"
25,T00000025,T00000025_HarveyandLyle_MD1.txt,Harvey and Lyle,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Hypno, Rhydon, Heatran, Glalie"
26,T00000026,T00000026_HarveyandEdmund_MD1.txt,Harvey and Edmund,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Mr. Mime, Skuntank, Zapdos, Ludicolo"
27,T00000027,T00000027_EmileeandCarlo_MD1.txt,Emilee and Carlo,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Snorlax, Lapras, Entei, Medicham"
28,T00000028,T00000028_TiffaniandBarrett_MD1.txt,Tiffani and Barrett,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Typhlosion, Heatran, Electrode, Ludicolo"
29,T00000029,T00000029_TiffaniandElaine_MD1.txt,Tiffani and Elaine,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Porygon-Z, Alakazam, Regice, Gengar"
30,T00000030,T00000030_TiffaniandTurner_MD1.txt,Tiffani and Turner,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Tangrowth, Hippowdon, Zapdos, Drapion"
31,T00000031,T00000031_TiffaniandKenton_MD1.txt,Tiffani and Kenton,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Lucario, Victreebel, Lopunny, Arcanine"
32,T00000032,T00000032_EllisandIrene_MD1.txt,Ellis and Irene,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Abomasnow, Rhyperior, Bronzong, Rotom"
33,T00000033,T00000033_EllisandIrene_MD1.txt,Ellis and Irene,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team B,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Abomasnow, Torkoal, Bronzong, Rotom"
34,T00000034,T00000034_EllisandBarrett_MD1.txt,Ellis and Barrett,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Registeel, Gyarados, Porygon-Z, Suicune"
35,T00000035,T00000035_EllisandSherman_MD1.txt,Ellis and Sherman,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Flygon, Gyarados, Cresselia, Blaziken"
36,T00000036,T00000036_EllisandKelton_MD1.txt,Ellis and Kelton,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Houndoom, Kangaskhan, Ampharos, Cresselia"
37,T00000037,T00000037_EllisandLayne_MD1.txt,Ellis and Layne,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Raikou, Blaziken, Honchkrow, Moltres"
38,T00000038,T00000038_LionelandEllis_MD1.txt,Lionel and Ellis,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Flygon, Garchomp, Cresselia, Lapras"
39,T00000039,T00000039_LionelandAbbey_MD1.txt,Lionel and Abbey,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Bellossom, Lapras, Torkoal, Cresselia"
40,T00000040,T00000040_LionelandAbbey_MD1.txt,Lionel and Abbey,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team B,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Bellossom, Rhyperior, Torkoal, Cresselia"
41,T00000041,T00000041_LionelandKristi_MD1.txt,Lionel and Kristi,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Electivire, Lucario, Snorlax, Feraligatr"
42,T00000042,T00000042_LionelandMariana_MD1.txt,Lionel and Mariana,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Armaldo, Rhyperior, Venusaur, Lickilicky"
43,T00000043,T00000043_LionelandTyrell_MD1.txt,Lionel and Tyrell,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Entei, Cresselia, Alakazam, Gengar"
44,T00000044,T00000044_IreneandDarcy_MD1.txt,Irene and Darcy,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Flygon, Nidoking, Granbull, Articuno"
45,T00000045,T00000045_IreneandAlonso_MD1.txt,Irene and Alonso,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Electivire, Alakazam, Vaporeon, Latios"
46,T00000046,T00000046_IreneandKevon_MD1.txt,Irene and Kevon,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Gastrodon, Lanturn, Rhyperior, Machamp"
47,T00000047,T00000047_IreneandKaila_MD1.txt,Irene and Kaila,Master Class Double Battles/1,M,D,1,Master Class Double Battles: Team A,1.html,https://bulbapedia.bulbagarden.net/wiki/List_of_Battle_Tower_Trainers_in_Pok%C3%A9mon_Brilliant_Diamond_and_Shining_Pearl/Master_Class_Double_Battles/1,4,"Magmortar, Manectric, Gliscor, Regigigas"
